"US general imports, monthly, HS10 line items. Source: US Census Bureau international trade API (api.census.gov), pulled 2026-09. Unit value = customs value / quantity. Customs value excludes duty, freight and insurance.",,,,,,,,,,,
month,hts10,commodity,group,census_description,customs_value_usd,quantity,unit,unit_value_usd_per_unit,china_value_usd,china_quantity,china_share_of_value_pct
2023-06,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1051704,2217,T,474.3816,,,
2023-07,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,94142,533,T,176.6266,,,
2023-08,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,86340,592,T,145.8446,,,
2023-09,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1123040,2154,T,521.3742,,,
2023-10,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,456972,4591,T,99.5365,,,
2023-11,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,126931,406,T,312.6379,,,
2023-12,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,198045,1168,T,169.5591,,,
2024-01,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1649796,3905,T,422.483,,,
2024-02,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,791467,2189,T,361.5656,,,
2024-03,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,2392128,5291,T,452.1126,,,
2024-04,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,96747,405,T,238.8815,,,
2024-05,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,427132,3710,T,115.1299,,,
2024-06,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,756644,2020,T,374.5762,,,
2024-07,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,2664016,5359,T,497.1107,,,
2024-08,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,208463,890,T,234.2281,,,
2024-09,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,65621,188,T,349.0479,,,
2024-10,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,123982,706,T,175.6119,,,
2024-11,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,155422,731,T,212.6156,,,
2024-12,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,596932,5979,T,99.8381,,,
2025-01,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,325712,1307,T,249.2058,,,
2025-02,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,151875,727,T,208.9065,,,
2025-03,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,136674,716,T,190.8855,,,
2025-04,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,72702,477,T,152.4151,,,
2025-05,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,2315335,4994,T,463.6233,,,
2025-06,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,419144,1192,T,351.6309,,,
2025-07,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,762918,2272,T,335.7914,,,
2025-08,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,318218,1149,T,276.9521,,,
2025-09,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1014627,2629,T,385.9365,,,
2025-10,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1905226,4182,T,455.5777,,,
2025-11,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,234491,1064,T,220.3863,,,
2025-12,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,284281,956,T,297.3651,,,
2026-01,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,378231,974,T,388.3275,,,
2026-02,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,302612,781,T,387.4673,,,
2026-03,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,697872,1598,T,436.7159,,,
2026-04,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,848924,1878,T,452.0362,,,
2026-05,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,907445,2151,T,421.8712,,,
2026-06,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,1294458,5477,T,236.3443,,,
2026-07,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,166503,584,T,285.1079,,,
2023-01,2529220000,fluorspar (>97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT MORE THAN 97 PERCENT OF CALCIUM FLUORIDE,948374,2075,T,457.0477,,,
2023-02,2529220000,fluorspar (>97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT MORE THAN 97 PERCENT OF CALCIUM FLUORIDE,6236436,17845,T,349.4781,,,
2023-03,2529220000,fluorspar (>97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT MORE THAN 97 PERCENT OF CALCIUM FLUORIDE,13309663,31944,T,416.6561,,,
