exam_id,cutoff,commodity,query,relevant_count,total_count,note,fetched_at
B,2023-10-19,fluorspar,fluorspar AND (mining OR supply OR production OR export OR smelter OR refinery),23,6722256,ok,2026-08-07T00:24:16
B,2023-10-19,gallium,gallium AND (mining OR supply OR production OR export OR smelter OR refinery),573,6722256,ok,2026-08-07T00:24:47
B,2023-10-19,garnet (industrial),garnet AND (mining OR supply OR production OR export OR smelter OR refinery),200,6722256,ok,2026-08-07T00:25:20
B,2023-10-19,gemstones,gemstones AND (mining OR supply OR production OR export OR smelter OR refinery),435,6722256,ok,2026-08-07T00:25:43
B,2023-10-19,germanium,germanium AND (mining OR supply OR production OR export OR smelter OR refinery),263,6722256,ok,2026-08-07T00:26:18
B,2023-10-19,gold,gold AND (mining OR supply OR production OR export OR smelter OR refinery),33320,6722256,ok,2026-08-07T00:26:45
B,2023-10-19,graphite (natural),graphite AND (mining OR supply OR production OR export OR smelter OR refinery),1671,6722256,ok,2026-08-07T00:27:26
B,2023-10-19,gypsum,gypsum AND (mining OR supply OR production OR export OR smelter OR refinery),349,6722256,ok,2026-08-07T00:27:44
B,2023-10-19,hafnium,hafnium AND (mining OR supply OR production OR export OR smelter OR refinery),25,6722256,ok,2026-08-07T00:28:17
B,2023-10-19,helium,helium AND (mining OR supply OR production OR export OR smelter OR refinery),985,6722256,ok,2026-08-07T00:28:53
B,2023-10-19,indium,indium AND (mining OR supply OR production OR export OR smelter OR refinery),188,6722256,ok,2026-08-07T00:29:15
B,2023-10-19,iodine,iodine AND (mining OR supply OR production OR export OR smelter OR refinery),406,6722256,ok,2026-08-07T00:29:47
B,2023-10-19,iron and steel,"""steel industry"" AND (mining OR supply OR production OR export OR smelter OR refinery)",885,6722256,ok,2026-08-07T00:30:30
B,2023-10-19,iron and steel scrap,"""steel scrap"" AND (mining OR supply OR production OR export OR smelter OR refinery)",69,6722256,ok,2026-08-07T00:30:44
B,2023-10-19,iron and steel slag,"""steel slag"" AND (mining OR supply OR production OR export OR smelter OR refinery)",6,6722256,ok,2026-08-07T00:31:22
B,2023-10-19,iron ore,"""iron ore"" AND (mining OR supply OR production OR export OR smelter OR refinery)",2062,6722256,ok,2026-08-07T00:31:50
B,2023-10-19,iron oxide pigments,"""iron oxide"" AND (mining OR supply OR production OR export OR smelter OR refinery)",150,6722256,ok,2026-08-07T00:32:28
B,2023-10-19,kyanite,kyanite AND (mining OR supply OR production OR export OR smelter OR refinery),6,6722256,ok,2026-08-07T00:32:40
B,2023-10-19,lead,lead AND (mining OR supply OR production OR export OR smelter OR refinery),107591,6722256,ok,2026-08-07T00:33:28
