"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
D,scandium,61,0.3608,68,0.4346,21,,filled_2026-08-15
D,selenium,212,0.4687,40.6,0.2157,34,,v1
D,silicon,8732,0.7934,68,0.1405,44,,filled_2026-08-15
D,silver,13958,0.8344,13.8,0.0229,70,,v1
D,soda ash,83,0.3874,46,0.2818,30,,filled_2026-08-15
D,stone,13048,0.8285,,,,no_share_data,v1
D,strontium,81,0.3853,23.5,0.1445,42,,v1
D,sulfur,1216,0.6211,19,0.072,56,,filled_2026-08-15
D,talc and pyrophyllite,164,0.4464,28,0.155,41,,filled_2026-08-15
D,tantalum,317,0.5038,3.9,0.0194,72,,v1
D,tellurium,32,0.3057,53.1,0.3687,24,,v1
D,terbium,104,0.4069,99,0.5872,12,,REE_element_file
D,thallium,14,0.2368,,,,no_share_data,v1
D,thorium,120,0.4193,,,,no_share_data,v1
D,thulium,9,0.2013,99,0.7907,1,,REE_element_file
D,tin,1697,0.6502,30.6,0.107,51,,v1
D,titanium,1666,0.6486,35.8,0.1258,49,,v1
D,tungsten,391,0.522,84.5,0.4039,22,,v1
D,vanadium,297,0.4981,70,0.3513,25,,v1
D,vermiculite,48,0.3402,8,0.0528,61,,filled_2026-08-15
D,wollastonite,9,0.2013,75,0.599,11,,filled_2026-08-15
D,ytterbium,29,0.2974,99,0.6956,5,,REE_element_file
D,yttrium,70,0.3727,99,0.6211,10,,REE_element_file
D,zeolites (natural),69,0.3714,5.2,0.0327,65,,filled_2026-08-15
D,zinc,2744,0.6922,32.3,0.0994,52,,v1
D,zirconium,103,0.406,10,0.0594,60,,v1
E1,abrasives (manufactured),118,0.4179,54.3,0.3161,24,,filled_2026-08-15
E1,aluminum,7343,0.7783,58,0.1286,42,,v1
E1,antimony,405,0.5252,54.5,,,already_controlled,v1
E1,arsenic,701,0.573,39.3,0.1678,33,,v1
E1,asbestos,595,0.5587,14,0.0618,54,,filled_2026-08-15
E1,barite,37,0.3181,24.1,0.1643,34,,v1
E1,bauxite and alumina,368,0.5168,58.6,0.2831,26,,filled_2026-08-15
E1,beryllium,96,0.4,25,0.15,36,,v1
E1,bismuth,131,0.4269,80,,,already_controlled,v1
E1,boron,309,0.5016,6,0.0299,61,,filled_2026-08-15
E1,bromine,237,0.4785,25,0.1304,41,,filled_2026-08-15
E1,cadmium,483,0.5405,41.7,0.1916,32,,v1
E1,cement,4319,0.7319,51,0.1367,39,,filled_2026-08-15
E1,cerium,60,0.3594,88,0.5637,13,,REE_element_file
E1,cesium,183,0.456,,,,no_share_data,v1
E1,chromium,419,0.5281,0,0,77,,v1
E1,clays,114,0.4149,,,,no_share_data,v1
E1,cobalt,2939,0.6983,1.2,0.0036,74,,v1
E1,copper,10632,0.8107,8.6,0.0163,69,,v1
E1,diamond (industrial),42,0.3289,95,0.6376,8,,diamond_term_corrected_2026-08-15
E1,diatomite,38,0.3203,17,0.1155,45,,filled_2026-08-15
E1,dysprosium,145,0.4357,99,0.5586,14,,REE_element_file
E1,erbium,29,0.2974,99,0.6956,4,,REE_element_file
E1,europium,25,0.2849,98,0.7008,3,,REE_element_file
E1,feldspar,96,0.4,8.6,0.0516,57,,v1
E1,fluorspar,18,0.2574,68.7,0.5101,18,,v1
E1,gadolinium,53,0.3488,98,0.6382,7,,REE_element_file
E1,gallium,847,0.5896,98.2,,,already_controlled,v1
